site,time,Abies,Alnus,Amaranthaceae,Ambrosia,Anacardaceae,Apiaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Bursera,Campanulaceae,Caryophyllaceae,Celastra,Cupressaceae,Eriogonum,Euphorbiaceae,Fabaceae,Lamiaceae,Moraceae,Opuntia,Pinus,Poaceae,Polygonaceae,Quercus,Rhamnaceae,Rosaceae,Rubiaceae,Ulmus
tehuan65,19691,0.003773585,0.022641509,0.003773585,0,0,0,0.003773585,0.033962264,0.003773585,0.003773585,0,0,0,0.003773585,0.060377358,0,0.003773585,0.00754717,0,0.00754717,0,0.611320755,0.086792453,0,0.132075472,0,0.011320755,0,0
tehuan66,20086,0,0.037453184,0.02247191,0,0,0,0,0.02247191,0,0,0,0,0,0.003745318,0.048689139,0.003745318,0.003745318,0,0,0.011235955,0,0.632958801,0.08988764,0.003745318,0.108614232,0.007490637,0.003745318,0,0
tehuan67,20481,0,0.018382353,0.003676471,0,0.003676471,0,0,0.007352941,0.007352941,0,0,0,0,0,0.047794118,0,0.007352941,0.003676471,0.003676471,0,0,0.683823529,0.069852941,0,0.139705882,0,0.003676471,0,0
tehuan68,20876,0.011152416,0.05204461,0.014869888,0.003717472,0,0,0,0.022304833,0,0,0,0,0,0.003717472,0.078066914,0,0,0.003717472,0,0.007434944,0,0.557620818,0.066914498,0,0.167286245,0,0.007434944,0,0.003717472
tehuan69,21271,0.003759398,0.033834586,0,0,0.007518797,0,0.003759398,0.015037594,0,0,0,0,0,0.003759398,0.045112782,0,0,0.003759398,0.003759398,0.003759398,0,0.612781955,0.086466165,0.007518797,0.15037594,0,0.018796992,0,0
tehuan70,21666,0,0.034351145,0.015267176,0,0.003816794,0,0,0.022900763,0,0,0,0,0,0.007633588,0.06870229,0.003816794,0.003816794,0.003816794,0.003816794,0.003816794,0,0.683206107,0.06870229,0,0.072519084,0,0.003816794,0,0
tehuan71,22061,0,0.033088235,0.025735294,0,0.014705882,0,0,0.022058824,0,0.003676471,0,0,0,0.003676471,0.044117647,0,0.003676471,0.003676471,0,0.003676471,0,0.610294118,0.102941176,0,0.117647059,0,0.007352941,0.003676471,0
tehuan72,22455,0,0.010752688,0.014336918,0,0.003584229,0,0,0.014336918,0,0,0,0,0,0,0.035842294,0,0.007168459,0,0,0.003584229,0,0.745519713,0.064516129,0.003584229,0.096774194,0,0,0,0
tehuan73,22850,0.007462687,0.02238806,0.014925373,0.003731343,0,0,0,0.014925373,0,0,0,0,0,0.003731343,0.055970149,0,0,0.007462687,0,0.003731343,0,0.675373134,0.052238806,0.003731343,0.130597015,0,0.003731343,0,0
tehuan74,23245,0,0.014814815,0.011111111,0,0.003703704,0,0,0.014814815,0,0.003703704,0,0,0,0,0.051851852,0.011111111,0.003703704,0.003703704,0,0.007407407,0,0.662962963,0.081481481,0.014814815,0.107407407,0.003703704,0.003703704,0,0
tehuan75,23640,0.003846154,0.019230769,0.015384615,0,0,0,0.003846154,0.003846154,0,0,0,0,0,0,0.053846154,0,0.011538462,0.007692308,0,0.007692308,0,0.642307692,0.065384615,0.003846154,0.157692308,0,0.003846154,0,0
tehuan76,24122,0,0.022900763,0.007633588,0,0.003816794,0,0.003816794,0.030534351,0,0.003816794,0,0,0,0.003816794,0.061068702,0.007633588,0.007633588,0.007633588,0.003816794,0.003816794,0,0.576335878,0.064885496,0.003816794,0.179389313,0.003816794,0.003816794,0,0
tehuan77,24602,0.003745318,0.018726592,0.003745318,0.003745318,0.003745318,0,0,0.011235955,0.003745318,0.003745318,0,0,0,0,0.078651685,0.003745318,0.003745318,0,0,0.003745318,0,0.617977528,0.063670412,0,0.164794007,0,0.011235955,0,0
tehuan78,25086,0.003636364,0.029090909,0,0.003636364,0.003636364,0,0,0.014545455,0,0,0,0,0.003636364,0,0.058181818,0,0,0,0,0.010909091,0,0.650909091,0.065454545,0.003636364,0.130909091,0,0.018181818,0,0.003636364
tehuan79,26050,0.003816794,0.026717557,0,0.003816794,0,0,0,0.015267176,0,0,0,0,0,0.003816794,0.030534351,0,0.003816794,0,0.003816794,0,0,0.667938931,0.06870229,0.003816794,0.148854962,0,0.019083969,0,0
tehuan80,26532,0.007380074,0.011070111,0.003690037,0,0.003690037,0,0,0.025830258,0.003690037,0.003690037,0,0,0,0.003690037,0.040590406,0,0.003690037,0.007380074,0.003690037,0.007380074,0,0.653136531,0.062730627,0,0.136531365,0.003690037,0.018450185,0,0
tehuan81,26910,0,0.022140221,0.014760148,0,0,0,0.003690037,0.018450185,0,0,0,0,0,0,0.044280443,0,0.003690037,0.003690037,0,0.003690037,0,0.649446494,0.092250923,0,0.143911439,0,0,0,0
tehuan82,27287,0.00729927,0.018248175,0,0,0,0,0.003649635,0.02189781,0.00729927,0,0,0,0,0,0.02919708,0,0,0.00729927,0,0,0,0.726277372,0.072992701,0.003649635,0.094890511,0,0.00729927,0,0
tehuan83,27665,0,0.0234375,0,0,0,0,0,0.01171875,0,0,0,0,0,0,0.03515625,0,0,0,0,0.00390625,0,0.68359375,0.07421875,0,0.15234375,0,0.01171875,0.00390625,0
tehuan84,28043,0.003787879,0.007575758,0,0,0.007575758,0,0.003787879,0.018939394,0,0.003787879,0,0,0,0,0.056818182,0,0.007575758,0.003787879,0.003787879,0.003787879,0,0.678030303,0.083333333,0,0.106060606,0,0.011363636,0,0
tehuan85,28420,0.010948905,0.032846715,0,0.003649635,0.003649635,0,0.00729927,0.01459854,0,0,0,0,0,0.00729927,0.040145985,0,0,0.003649635,0.003649635,0,0,0.638686131,0.094890511,0,0.124087591,0.003649635,0.010948905,0,0
tehuan86,28798,0.003703704,0.018518519,0.014814815,0.003703704,0.003703704,0,0.003703704,0.025925926,0.003703704,0.003703704,0,0,0,0.003703704,0.044444444,0,0.011111111,0,0,0,0,0.651851852,0.059259259,0,0.144444444,0,0.003703704,0,0
