site,time,Abies,Acer,Alnus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Betula,Carya,Corylus,Cupressaceae,Fagaceae,Fraxinus,Gentianaceae,Juglans,Ostrya,Picea,Pinus,Poaceae,Polemoniaceae,Polygonaceae,Populus,Pseudotsuga,Quercus,Ranunculaceae,Rosaceae,Salix,Saxifragaceae,Thalictrum,Tilia,Tsuga heterophylla,Ulmus
hansen33,18517,0.02690583,0,0.031390135,0.01793722,0.040358744,0.098654709,0,0.031390135,0.00896861,0.022421525,0,0,0.013452915,0,0,0.00896861,0.466367713,0.089686099,0.053811659,0,0,0.02690583,0.004484305,0.022421525,0.004484305,0,0.01793722,0,0.004484305,0,0,0.00896861
hansen34,19518,0.012552301,0,0.066945607,0.012552301,0.012552301,0.142259414,0.008368201,0.008368201,0,0,0,0,0.029288703,0,0.0041841,0.029288703,0.405857741,0.10041841,0.029288703,0,0,0.008368201,0.0041841,0.092050209,0.008368201,0.0041841,0.008368201,0,0.008368201,0,0,0.0041841
hansen35,20130,0.019011407,0.007604563,0.08365019,0.003802281,0.015209125,0.098859316,0.003802281,0.015209125,0.003802281,0.007604563,0,0,0.02661597,0,0,0.007604563,0.403041825,0.178707224,0.030418251,0,0,0.007604563,0.007604563,0.034220532,0.011406844,0.003802281,0.003802281,0.011406844,0.003802281,0,0.003802281,0.007604563
hansen36,20530,0.019685039,0.003937008,0.059055118,0.003937008,0.011811024,0.145669291,0.007874016,0.011811024,0,0,0,0,0.023622047,0,0.003937008,0.011811024,0.318897638,0.212598425,0.05511811,0,0,0.007874016,0.011811024,0.043307087,0.015748031,0.007874016,0.003937008,0,0.011811024,0,0,0.007874016
hansen37,21232,0,0,0.094170404,0.004484305,0.058295964,0.143497758,0.02690583,0.044843049,0,0.01793722,0,0,0.044843049,0,0,0.02690583,0.322869955,0.062780269,0.022421525,0.004484305,0,0.00896861,0,0.031390135,0.00896861,0.00896861,0.035874439,0,0.01793722,0,0.00896861,0.004484305
hansen38,21537,0.016194332,0,0.105263158,0.004048583,0.028340081,0.097165992,0.012145749,0.016194332,0.004048583,0,0,0,0.044534413,0,0,0.016194332,0.327935223,0.145748988,0.024291498,0,0.004048583,0.004048583,0,0.097165992,0.024291498,0,0.008097166,0.012145749,0.008097166,0,0,0
hansen39,22233,0.013761468,0,0.068807339,0,0.041284404,0.091743119,0.02293578,0.013761468,0,0,0,0,0.018348624,0,0,0.013761468,0.555045872,0.087155963,0.02293578,0,0,0.013761468,0,0.02293578,0,0,0.004587156,0,0.004587156,0,0.004587156,0
hansen40,22529,0.004219409,0,0.088607595,0.008438819,0.037974684,0.113924051,0.012658228,0.05907173,0,0,0,0,0.071729958,0,0,0.016877637,0.29535865,0.130801688,0.021097046,0,0,0.004219409,0.008438819,0.071729958,0.025316456,0.004219409,0.012658228,0.004219409,0.008438819,0,0,0
hansen41,23033,0.007782101,0,0.035019455,0.011673152,0.027237354,0.085603113,0.011673152,0.011673152,0,0.003891051,0,0,0.101167315,0,0,0,0.486381323,0.081712062,0.038910506,0,0,0.007782101,0,0.06614786,0.003891051,0,0.015564202,0,0.003891051,0,0,0
hansen42,23536,0.028340081,0.004048583,0.028340081,0.004048583,0.012145749,0.16194332,0.008097166,0.024291498,0,0,0,0,0.032388664,0.004048583,0,0.008097166,0.429149798,0.097165992,0.024291498,0,0,0.008097166,0.012145749,0.048582996,0.020242915,0,0.016194332,0.008097166,0.016194332,0,0,0.004048583
hansen43,24558,0.017167382,0.004291845,0.051502146,0.012875536,0.017167382,0.115879828,0.004291845,0.012875536,0,0,0.004291845,0,0.060085837,0.012875536,0,0.012875536,0.480686695,0.055793991,0.008583691,0,0,0.017167382,0.008583691,0.042918455,0.017167382,0,0.017167382,0.017167382,0.004291845,0,0.004291845,0
hansen44,25591,0.020325203,0,0.036585366,0.008130081,0.024390244,0.150406504,0.008130081,0,0,0.004065041,0.008130081,0,0.040650407,0,0,0.008130081,0.516260163,0.081300813,0.028455285,0,0,0,0.008130081,0.020325203,0.004065041,0,0.004065041,0.008130081,0.016260163,0,0.004065041,0
hansen45,26295,0.004464286,0,0.03125,0.022321429,0.026785714,0.1875,0,0.013392857,0,0.008928571,0.004464286,0,0.071428571,0,0,0.013392857,0.383928571,0.089285714,0.040178571,0,0,0.004464286,0.008928571,0.03125,0.022321429,0,0.017857143,0.008928571,0.008928571,0,0,0
hansen46,27606,0.043137255,0,0.050980392,0.015686275,0.019607843,0.121568627,0,0,0,0,0,0,0.039215686,0.007843137,0,0.011764706,0.42745098,0.070588235,0.035294118,0,0,0.003921569,0.003921569,0.070588235,0.011764706,0.007843137,0.023529412,0.011764706,0.007843137,0,0.015686275,0
hansen47,28627,0.015625,0.00390625,0.0859375,0.015625,0.01953125,0.15234375,0.015625,0,0,0.00390625,0,0,0.0234375,0,0,0.00390625,0.4765625,0.05078125,0.05078125,0,0,0,0,0.02734375,0.01953125,0.00390625,0.00390625,0.0078125,0.00390625,0,0.015625,0
hansen48,29646,0.028571429,0.008163265,0.020408163,0.004081633,0.012244898,0.12244898,0,0.004081633,0,0,0.016326531,0,0.004081633,0,0,0.008163265,0.53877551,0.130612245,0.032653061,0,0.004081633,0.008163265,0.008163265,0.008163265,0.008163265,0,0.008163265,0.004081633,0.016326531,0,0.004081633,0
hansen49,30671,0.012,0,0.012,0,0.012,0.192,0.02,0.004,0,0,0,0,0.092,0,0,0,0.424,0.08,0.044,0,0,0.004,0,0.056,0.016,0,0.016,0.008,0.008,0,0,0
hansen50,31688,0.029850746,0,0.074626866,0.01119403,0.014925373,0.115671642,0.014925373,0.007462687,0,0.007462687,0,0,0.03358209,0,0,0.01119403,0.455223881,0.067164179,0.052238806,0,0.003731343,0.01119403,0,0.037313433,0.01119403,0.01119403,0.007462687,0,0.01119403,0,0.003731343,0.007462687
hansen51,32707,0.011764706,0,0.031372549,0.011764706,0.02745098,0.160784314,0.007843137,0.007843137,0,0.007843137,0,0,0.031372549,0,0,0,0.388235294,0.101960784,0.105882353,0,0,0.007843137,0.007843137,0.039215686,0.015686275,0.011764706,0.011764706,0.003921569,0.003921569,0,0.003921569,0
hansen52,33731,0.031746032,0,0.01984127,0.023809524,0.03968254,0.182539683,0,0.003968254,0,0.003968254,0,0,0.007936508,0,0,0.003968254,0.444444444,0.119047619,0.055555556,0,0,0,0,0.035714286,0,0,0.01984127,0,0.007936508,0,0,0
hansen53,34746,0.007905138,0,0.015810277,0.023715415,0.027667984,0.169960474,0.015810277,0.007905138,0,0,0.003952569,0,0.011857708,0,0,0.003952569,0.395256917,0.106719368,0.059288538,0,0,0,0.003952569,0.075098814,0.035573123,0,0.027667984,0,0.007905138,0,0,0
hansen54,35837,0.031128405,0,0.035019455,0.003891051,0.015564202,0.13618677,0,0.003891051,0,0,0.003891051,0,0.011673152,0,0,0,0.60311284,0.077821012,0.019455253,0,0.003891051,0.003891051,0,0.027237354,0,0,0.007782101,0,0.015564202,0,0,0
hansen55,36740,0.027559055,0.003937008,0.011811024,0.015748031,0.035433071,0.106299213,0,0,0,0,0,0,0.015748031,0,0,0,0.562992126,0.114173228,0.019685039,0,0,0.003937008,0,0.011811024,0.007874016,0,0.043307087,0.003937008,0.007874016,0,0.007874016,0
hansen56,38752,0.007751938,0.003875969,0.007751938,0.015503876,0.011627907,0.046511628,0.003875969,0,0,0,0,0,0.003875969,0,0,0,0.744186047,0.085271318,0.031007752,0,0.003875969,0.011627907,0,0.003875969,0.003875969,0,0.015503876,0,0,0,0,0
hansen57,42794,0,0.016129032,0,0.016129032,0.048387097,0.016129032,0,0,0,0,0,0,0,0,0,0,0.725806452,0.112903226,0.016129032,0.016129032,0,0,0,0,0,0,0.032258065,0,0,0,0,0
hansen58,50864,0,0,0,0.006410256,0.006410256,0.006410256,0,0,0,0,0,0,0.012820513,0,0,0,0.737179487,0.173076923,0.012820513,0,0,0.012820513,0,0.019230769,0,0,0.012820513,0,0,0,0,0
hansen59,61040,0,0,0,0.02,0.04,0.08,0,0,0,0,0,0,0.02,0,0,0,0.68,0.1,0.04,0,0,0,0,0,0,0,0.02,0,0,0,0,0
hansen60,71239,0.014492754,0.007246377,0,0.02173913,0.050724638,0.028985507,0.014492754,0,0,0.007246377,0,0,0.007246377,0,0,0,0.688405797,0.108695652,0.007246377,0,0,0.007246377,0,0,0.007246377,0,0.014492754,0,0.007246377,0,0,0.007246377
hansen61,80395,0.008,0,0,0.016,0.032,0.088,0,0.008,0,0,0.008,0,0,0,0,0,0.64,0.128,0.008,0,0,0,0,0.016,0.008,0,0.04,0,0,0,0,0
