site,time,Alnus,Amaranthaceae,Ambrosia,Apiaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Ericaceae,Fabaceae,Papaver,Pedicularis,Phlox,Picea,Pinus,Plantago,Poaceae,Polemoniaceae,Polygonaceae,Populus,Potentilla,Ranunculaceae,Rosaceae,Rumex,Salix,Sanguisorba,Sarcobatus vermiculatus,Thalictrum
zagoskin87,26742,0.003472222,0,0,0,0.159722222,0.017361111,0.003472222,0.003472222,0.024305556,0,0,0,0,0.006944444,0,0,0.010416667,0.732638889,0,0,0,0,0.003472222,0,0.003472222,0,0,0.003472222,0.027777778
zagoskin88,26905,0.006410256,0,0.003205128,0,0.169871795,0.019230769,0.003205128,0.006410256,0.022435897,0,0,0,0,0.006410256,0,0.006410256,0.009615385,0.695512821,0,0,0,0,0.003205128,0,0.003205128,0.016025641,0,0,0.028846154
zagoskin89,27068,0.006872852,0.003436426,0.003436426,0,0.213058419,0.037800687,0.006872852,0.017182131,0.010309278,0.006872852,0,0,0,0.010309278,0.006872852,0,0,0.608247423,0,0,0,0.003436426,0.003436426,0,0.003436426,0.017182131,0,0.006872852,0.034364261
zagoskin90,27222,0.006849315,0.003424658,0.006849315,0,0.133561644,0.020547945,0.017123288,0.003424658,0.02739726,0.003424658,0,0,0,0.010273973,0.003424658,0.006849315,0.01369863,0.633561644,0.003424658,0,0,0.006849315,0.023972603,0,0.003424658,0.04109589,0,0,0.030821918
zagoskin91,27376,0.003194888,0.003194888,0,0.003194888,0.156549521,0.025559105,0.015974441,0,0.031948882,0.003194888,0,0,0,0,0.009584665,0,0.003194888,0.680511182,0,0.003194888,0,0,0.003194888,0,0,0.038338658,0,0.003194888,0.015974441
zagoskin92,27531,0.003401361,0.034013605,0,0.006802721,0.19047619,0.013605442,0.003401361,0.013605442,0.034013605,0,0,0,0,0,0.003401361,0,0,0.62244898,0,0.003401361,0,0,0.034013605,0,0,0.034013605,0.003401361,0,0
zagoskin93,27689,0,0.003448276,0,0.003448276,0.120689655,0.017241379,0.003448276,0.006896552,0.006896552,0.003448276,0,0,0.006896552,0,0,0,0.013793103,0.724137931,0.003448276,0.003448276,0,0.003448276,0.006896552,0,0.010344828,0.027586207,0,0.010344828,0.024137931
zagoskin94,27850,0.010169492,0.006779661,0,0.003389831,0.142372881,0.013559322,0.013559322,0.006779661,0.013559322,0,0,0,0,0.003389831,0.003389831,0,0.010169492,0.650847458,0,0,0,0.003389831,0.013559322,0,0,0.061016949,0,0.003389831,0.040677966
zagoskin95,28012,0,0.003215434,0,0.003215434,0.109324759,0.012861736,0.012861736,0.003215434,0.032154341,0,0,0,0,0.003215434,0.006430868,0,0.003215434,0.707395498,0,0,0,0,0.006430868,0,0.07073955,0.022508039,0,0,0.003215434
zagoskin96,28162,0,0,0.003891051,0,0.058365759,0.038910506,0.023346304,0.011673152,0.027237354,0,0,0.003891051,0,0,0,0.003891051,0.003891051,0.708171206,0.007782101,0,0,0.003891051,0.058365759,0,0.011673152,0.023346304,0,0,0.011673152
zagoskin97,28319,0,0,0,0.003448276,0.162068966,0.006896552,0.017241379,0,0.013793103,0.003448276,0,0,0,0,0.003448276,0,0.003448276,0.765517241,0,0,0,0,0.006896552,0,0.003448276,0.006896552,0,0,0.003448276
zagoskin98,28458,0.017421603,0,0.003484321,0,0.177700348,0.020905923,0.013937282,0.010452962,0.024390244,0,0.006968641,0,0,0.003484321,0.013937282,0.010452962,0.006968641,0.578397213,0.003484321,0.003484321,0,0.003484321,0.034843206,0,0,0.045296167,0,0,0.020905923
zagoskin99,28596,0.012903226,0,0,0,0.116129032,0.012903226,0.016129032,0.003225806,0.038709677,0,0,0,0,0.003225806,0.003225806,0,0,0.703225806,0,0.006451613,0,0.006451613,0.016129032,0,0.003225806,0.032258065,0,0.012903226,0.012903226
zagoskin100,28734,0,0,0,0,0.15862069,0.013793103,0.003448276,0.013793103,0.013793103,0,0.006896552,0,0,0.003448276,0.003448276,0.006896552,0.006896552,0.737931034,0,0,0,0,0.013793103,0,0,0,0,0,0.017241379
zagoskin101,28870,0.003311258,0.003311258,0,0,0.178807947,0.029801325,0.009933775,0.003311258,0.01986755,0,0,0,0.003311258,0,0.009933775,0,0,0.67218543,0,0,0,0,0.003311258,0,0,0.01986755,0.003311258,0.016556291,0.023178808
zagoskin102,29005,0.006968641,0,0,0,0.073170732,0.010452962,0,0.010452962,0.031358885,0.006968641,0.003484321,0,0,0.003484321,0.003484321,0,0.006968641,0.783972125,0,0.010452962,0,0,0.006968641,0,0.003484321,0.024390244,0,0,0.013937282
zagoskin103,29141,0.003039514,0.009118541,0,0,0.155015198,0.015197568,0.009118541,0.006079027,0.039513678,0,0,0,0,0.003039514,0.012158055,0,0,0.632218845,0.003039514,0,0,0.009118541,0.018237082,0,0.015197568,0.039513678,0,0.015197568,0.015197568
