"","YrBP","Abies","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Cupressaceae","Fraxinus","Ostrya","Pinus","Poaceae","Quercus","Thalictrum"
"patz110",109000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz111",110000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz112",111000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz113",112000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz114",113000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz115",114000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz116",115000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz117",116000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz118",117000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz119",118000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz120",119000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz121",120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz122",121000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz123",122000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz124",123000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz125",124000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz126",125000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz127",126000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz128",127000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz129",128000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz130",129000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz131",130000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz132",131000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz133",132000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz134",133000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz135",134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz136",135000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz137",136000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz138",137000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz139",138000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz140",139000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
