"","YrBP","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Cercocarpus","Cupressaceae","Pinus","Poaceae","Sarcobatus.vermiculatus"
"ruby125",124000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby126",125000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby127",126000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby128",127000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby129",128000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby130",129000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby131",130000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby132",131000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby133",132000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby134",133000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby135",134000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby136",135000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby137",136000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby138",137000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby139",138000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby140",139000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby141",140000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby142",141000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby143",142000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby144",143000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby145",144000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby146",145000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby147",146000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby148",147000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby149",148000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby150",149000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby151",150000,NA,NA,NA,NA,NA,NA,NA,NA,NA
