"","YrBP","Alnus","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae","Cupressaceae","Ericaceae","Picea","Plantago","Poaceae","Populus","Ranunculaceae","Rosaceae","Rumex","Salix","Thalictrum"
"joe036",35000,0.0024816495834141,0.0290409477032573,0.00792764293519026,0.284038892024757,0.00565455734851039,0.0040588510834141,0.355323459922528,0.00461732283968227,0.00411564824744006,0.00180935806792803,0.185601323507901,0.000494427594433441,0.0216675566057267,0.00350254952157515,0.00296146123958114,0.0724895603656188,0.0142147925325734
"joe037",36000,0.00264478687808626,0.0302666676780265,0.00868021476214763,0.257320424647767,0.00674727087358358,0.00400059820040119,0.373443770363863,0.00404243188098845,0.004577246436397,0.00186943871671539,0.180482062806299,0.000349074522972194,0.0181447291199932,0.00380354599216833,0.00352099756356032,0.0829470693256013,0.0171596714321504
"joe038",37000,0.00285929819581766,0.0336283248586855,0.010093820980062,0.220859568641115,0.00774345296047798,0.00422456354339456,0.389585128740297,0.00341414657457402,0.00518220479205576,0.00221594046545696,0.180850741618765,0.00023347740657225,0.0148373812095596,0.00390140079256473,0.00422206890214649,0.0937599858097809,0.0223884956753707
"joe039",38000,0.00322014213219689,0.0411003724265535,0.0120829677068985,0.164301520818557,0.00917742675596175,0.00437862559656329,0.401586283556811,0.00295876384080692,0.00618071403909085,0.00245299514890121,0.194601238194701,0.000158844136167591,0.0121258336183793,0.00388893187588143,0.00463368491180028,0.107141156154629,0.0300105001790238
"joe040",39000,0.00350267987065412,0.0532225035603241,0.0147699494647921,0.115766182093221,0.0111578129108781,0.00437970300481354,0.398148089545478,0.00237707394078399,0.00771242196234958,0.00244702209176695,0.214620116103729,0.000119053303729298,0.0100815877058263,0.0041061611704754,0.0040775100356011,0.116551175460145,0.0369609586887883
"joe041",40000,0.00399450484081633,0.0650256874885362,0.016524645393676,0.0818673697418493,0.0132529939068279,0.00418936669556563,0.385830214043411,0.00225729683658352,0.00954160879737969,0.00243366531521794,0.232413235572134,7.63778002267574e-05,0.00964501459831192,0.00442113181002772,0.00342111767863442,0.123441216432326,0.0416645538676997
"joe042",41000,0.00464422179687629,0.0758662475212418,0.0181212327549702,0.0553601353054692,0.0151115836817719,0.00395385273151483,0.373374248045866,0.0024209496475651,0.0116432283538098,0.00233266564822504,0.244468016315093,2.93342285863558e-05,0.00910475991588528,0.00483205753738279,0.00277884265771166,0.130351138754145,0.0456074858673523
"joe043",42000,0.00540382925705993,0.0859780916067304,0.0185280154374433,0.0432879959391365,0.0169710660051702,0.00366453480280583,0.35730500746269,0.00268516590524279,0.0137332370228881,0.0020878164978533,0.252628913359104,0,0.00896742753927556,0.00530948120469251,0.00203412180268489,0.135135760031535,0.0462795368420209
"joe044",43000,0.00624440332001976,0.0944885828665937,0.0189106685303084,0.0502542763914685,0.0186050154925905,0.00335858466897184,0.339650942388434,0.00283032327027027,0.0155252958337097,0.00179871453524804,0.254351991890163,0,0.00872913089570249,0.00559791051739468,0.00142068749862395,0.135924811151471,0.0423086614209654
"joe045",44000,0.00773227968845006,0.0978593175057176,0.0185176137395637,0.0559643927156831,0.0199344485074627,0.00312040526273249,0.328846686577405,0.00335824003352468,0.0168577261198622,0.00160689450498278,0.252494765055247,0,0.00889585967582089,0.0056829461810333,0.00148296934769231,0.138806351936028,0.0388391039380023
"joe046",45000,0.0086499095816167,0.100403626840098,0.0183151116276429,0.0598420419600245,0.0205531833922089,0.00295587008878918,0.325989676817935,0.00362196571690802,0.0179104607258141,0.00142801374709362,0.247419071729961,0,0.00829047834393908,0.00574046294459175,0.00151468433652866,0.141449724724658,0.0359157182505949
"joe047",46000,0.00978042277819,0.104083351783137,0.0176885010269815,0.0644003005344576,0.0218118525801012,0.00290660778954469,0.320996923134008,0.00378516979269252,0.0188007031527825,0.00119158728881394,0.246246885495897,0,0.00810261906340641,0.00550315331714446,0.00172678645103991,0.142714317003822,0.0302608196366498
"joe048",47000,0.0118234941935179,0.107144047219068,0.0187942178024604,0.0693857901551928,0.0235664514757511,0.00296030509392004,0.31448048881973,0.00383344025975869,0.0193378524362432,0.000802982714454696,0.249192022651999,0,0.00777964180577242,0.00470330283889283,0.00224908457109061,0.14258502523894,0.0213618536777857
"joe049",48000,0.017726595403895,0.0970060666765453,0.0185639041972904,0.0744087685351397,0.0263243895935648,0.00309398432006774,0.297185666117697,0.00540170940050804,0.0194522635867909,0,0.257250083422523,0,0.00928195259864522,0.00388024287891617,0.00309398432006774,0.146407710478408,0.0209226801930567
"joe050",49000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe051",50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe052",51000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe053",52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe054",53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe055",54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe056",55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe057",56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe058",57000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe059",58000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe060",59000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe061",60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe062",61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe063",62000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe064",63000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe065",64000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe066",65000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe067",66000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe068",67000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe069",68000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe070",69000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe071",70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe072",71000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe073",72000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe074",73000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joe075",74000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
