"","YrBP","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae","Carya","Ceratiola.ericoides","Cupressaceae","Ericaceae","Fabaceae","Fraxinus","Gordonia","Iva","Moraceae","Myrtaceae","Ostrya","Pinus","Poaceae","Polygonaceae","Quercus","Sabal","Serenoa","Taxodium","Ulmus","Vitis"
"anni36",35000,0.0890782394451613,0.0770114835253456,0.00963285644976958,0.0472860250571429,0.0347427632423963,0.0538823539105991,0.018789207564977,0.0538823539105991,0,0.0059703165640553,0.00298515828202765,0.0103102386138249,0,0.0326358638331797,0,0.117047181167742,0.180314747174194,0.0181118254009217,0.241671688250691,0,0,0,0.00298515828202765,0.00366254044608295
"anni37",36000,0.0823006313736743,0.0829617385763475,0.00849708196048235,0.0435589258220253,0.0371301832735726,0.0637884168568938,0.0144347925512131,0.0637884168568938,0,0.00545985134853988,0.00272992567426994,0.00828163984047654,0,0.0329782445472904,0,0.136570662732239,0.15916984245547,0.015347231261078,0.237583757208775,0,0,0,0.00272992567426994,0.0026887327017289
"anni38",37000,0.0732264466250159,0.0904839925943169,0.00765053483876697,0.0393181332529494,0.0366600112231384,0.0722662492992516,0.00994642777242167,0.0722662492992516,0,0.00460402801370037,0.00230201400685018,0.00671490955499175,0,0.0321724602586579,0,0.167406103080807,0.139021953142332,0.0131222108042623,0.228609834310288,0,0,0,0.00230201400685018,0.00192642816009134
"anni39",38000,0.0620392325680721,0.0940316626631953,0.00730406593129286,0.0377880265519431,0.032678259974727,0.0773330054431039,0.00614818822377445,0.0773330054431039,0,0.00353599127736855,0.00164827786233172,0.00775820776327153,0,0.0299676574700279,5.57562092964186e-05,0.203876000429642,0.124649509586487,0.0140079709051308,0.216450544349124,0.000211557452628905,0,0,0.00167615596240792,0.0015069239504699
"anni40",39000,0.0495655931195534,0.0943423709856926,0.00800605182993713,0.0399586027294602,0.026266030416757,0.0779172537709733,0.00296099071688706,0.0779172537709733,0,0.00260104173141123,0.000892718484283547,0.0114055743351398,0,0.028061676804574,0.000708496140472577,0.237025314623781,0.117983341753739,0.0183431811553219,0.203160630509972,0.000461356750704531,0,0,0.00124696649642315,0.00117555374831997
"anni41",40000,0.0421100459363862,0.0973831552033885,0.00852318464013426,0.0434847014492927,0.0212229563526732,0.0753087343576281,0.00211322356125629,0.0753087343576281,0.000225661992008311,0.00240028267377927,0.000674119495085112,0.0148257494477743,0.000225661992008311,0.0281716439453369,0.001686667544234,0.236634476195557,0.116703461597539,0.0241249807775913,0.204934848997043,0.000547203019419803,0.000769575693838408,0,0.00149721194333893,0.00112371876304643
"anni42",41000,0.0368388491698786,0.103114084615067,0.00869414995776499,0.0469770702026029,0.019275647594669,0.0732313075864097,0.00157967642710549,0.0732313075864097,0.000366864128769866,0.00237256586797647,0.000598006266549869,0.0171910677373295,0.000366864128769866,0.0288316085801527,0.00244965088261795,0.225198517105932,0.114994576872169,0.0282190601101239,0.211569218823864,0.000590528430859717,0.00146408217131773,0,0.00182588105099487,0.00101941476179452
"anni43",42000,0.0329495442752608,0.106961891440207,0.00879251120140133,0.0500245611093668,0.0192677151963966,0.0707068110233906,0.00105457046981351,0.0707068110233906,0.000469009403961648,0.00268498744610684,0.000698643565061637,0.0193540008733537,0.000469009403961648,0.0304729695673796,0.0035572814985776,0.210416260161574,0.11209791463339,0.0313692341523549,0.221823258257454,0.00063367924254557,0.00223014936582025,0,0.0022236901252239,0.00103549677183648
"anni44",43000,0.0317628843030344,0.112610283556377,0.00918152406278805,0.0522353873553274,0.020191504701483,0.0688431145408624,0.000881325995254392,0.0688431145408624,0.000626291066621036,0.00295545604134155,0.000877409783983573,0.0202161444775268,0.000544934999133014,0.0322000694454027,0.0043358551504449,0.192423469215697,0.110803865321606,0.0343668285364819,0.228972929151996,0.000515061219164956,0.002795639026329,0,0.00260380487798312,0.00121310285927447
"anni45",44000,0.0326080395626395,0.118082953097761,0.00934484911912239,0.0544760268912487,0.022270784620114,0.0734801331001157,0.000955022615775556,0.0734801331001157,0.00083974058858772,0.00317199289794232,0.00105600460358648,0.0203059001787456,0.000672239243946781,0.0335517627532849,0.00480044515296256,0.163433747612883,0.108946901556731,0.0378059651837038,0.231972490870961,0.00088442047599372,0.00336699169233948,0,0.00285550646169738,0.00163794892451037
"anni46",45000,0.0348949642737128,0.119847421356992,0.00967421580895728,0.0568857824799415,0.0242081317177197,0.0786923686794299,0.0011001788294218,0.0786923686794299,0.000863822385617996,0.00316120634846516,0.00106541312343674,0.0202660309841644,0.000700777698960533,0.0336668764486357,0.0049041306404905,0.141368211299943,0.111318775035569,0.0404095247325808,0.227902632703792,0.00185799636024038,0.00344158630924151,0,0.00275028078138704,0.0023273037141059
"anni47",46000,0.0382682303678249,0.116809132537907,0.0102044836264478,0.0589181506723092,0.0257802334910695,0.0854017111864155,0.00119303245908107,0.0854017111864155,0.000924586259089559,0.00319238211106869,0.00106378518450639,0.020283122424335,0.000755859368291545,0.0337434561495906,0.00502417197250859,0.123889282543761,0.114317860753596,0.0434636778017055,0.219352372477833,0.00297453329769632,0.00338346792304102,0,0.00254235404794027,0.00311240259399262
"anni48",47000,0.0427592786148069,0.1127134862107,0.0108181350219739,0.0620217834823142,0.0267343095182421,0.0961244366220852,0.00144466223601131,0.0961244366220852,0.0010343807757174,0.00288869967734458,0.000869013610124705,0.0200332175450373,0.000851790328218441,0.0327543684531083,0.00442319273858421,0.103851587726067,0.119920264281814,0.0478815292505679,0.203449760357656,0.00437933866580131,0.00298619027462797,0,0.00217668468147049,0.0037594537825321
"anni49",48000,0.0477059116730969,0.105154839412363,0.0108494216447832,0.0640474336456129,0.0275313742166044,0.109463310479257,0.0017737321143435,0.109463310479257,0.00099906639053101,0.00265826375658577,0.000643875989628708,0.0194151227751504,0.000981724599149554,0.0313577109173408,0.00377720638643435,0.0866322086468575,0.125615079691454,0.0498048701768824,0.18732251627515,0.00624800392771209,0.0025450372544078,0,0.00177350214810205,0.00423647794373574
"anni50",49000,0.0521023683695445,0.0971432301672332,0.0106912647116247,0.065472843681985,0.0266603791099252,0.116130023863358,0.00201833574242012,0.116130023863358,0.000861166776002719,0.00231158724282801,0.000413835253840925,0.0189681530111489,0.00114980596995241,0.0294787372407886,0.00312458708470428,0.0813316562757308,0.133591208420394,0.0507668690341944,0.175167178549558,0.00829472931733515,0.00211871835907546,0,0.00131170635309313,0.00476159219898029
"anni51",50000,0.0553256752422727,0.0895470671307392,0.0107171987723317,0.0668540437146144,0.0261951201283385,0.123626160023607,0.00213403639481845,0.123626160023607,0.000889590755326598,0.00216374516604981,0.000258301199359808,0.0188498219283785,0.00131046497189157,0.0286229865260578,0.00268034756476943,0.0746601949316795,0.137868207643693,0.0526196985719716,0.16471559246564,0.00950993340582175,0.00182706729208763,0,0.00108187262228669,0.00491671413894168
"anni52",51000,0.0580722662495171,0.0851645227150676,0.0102575385772698,0.068634917962009,0.0250541811764327,0.131753499375563,0.00242367592385705,0.131753499375563,0.000858744330489375,0.0017875977189311,0,0.01835225657566,0.0015298770643915,0.0269974707454926,0.0017875977189311,0.0644144410579523,0.143383276794752,0.0537299770853187,0.155876880124598,0.0109668609558918,0.0015298770643915,0,0.00089379885946555,0.00477724321506761
"anni53",52000,0.0596635093219178,0.0812599626731009,0.00873179752241594,0.0662468715379826,0.0226153992739726,0.133692204271793,0.00273281065971357,0.133692204271793,0.000552864502179328,0.00178786644769614,0,0.0171420257932752,0.0018388774358655,0.0257913011429016,0.00178786644769614,0.0666269398667497,0.147212252007783,0.0488778112247821,0.159410009132628,0.0128211320853051,0.0018388774358655,0,0.00089393322384807,0.00478348438729763
