"","YrBP","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Betula","Carya","Caryophyllaceae","Cupressaceae","Fagaceae","Fraxinus","Juglans","Ostrya","Picea","Pinus","Poaceae","Pseudotsuga","Quercus","Salix","Tilia","Tsuga.heterophylla","Ulmus"
"kilb31",30000,0.00654901003247144,0.0090394488976892,0,0.00243933615076024,0.00485770504948029,0,0.00161923501649343,0.00239713686899751,0.0687214559171892,0.00729704120024053,0,0.00331053999948458,0.00161923501649343,0.0155373563821837,0,0.02824274673181,0.00659120948071472,0.689078424000515,0,0.00846938306734817,0.0952343878262177,0.00506527646044154,0,0.00645544342504939,0.0374756281310884
"kilb32",31000,0.00740732381395349,0.00893046549047889,0,0.00229516028936067,0.00631832079094077,0,0.00192074255141399,0.00306376665521433,0.0755192654673041,0.00833543451195203,0,0.0027316990627988,0.00219878911976339,0.0165537149132971,0.000278046568349404,0.0259528559278016,0.00608262444412933,0.676109644420225,0,0.00816800422064663,0.0972980796033547,0.00373344313070254,0,0.0059825083551576,0.0411201107182562
"kilb33",32000,0.00809161232070121,0.00845177554404056,0,0.00171740458649136,0.00658442716499098,0,0.00171740458649136,0.00336358190581765,0.0835755902552204,0.0075857250487239,0,0.00250848318552892,0.00243351128924981,0.0164684159684627,0.000716106702758443,0.0248626213100455,0.0050132217419438,0.669636091904615,0,0.00874716141900833,0.0948209505560712,0.00315682513792214,0,0.00572586592790238,0.0448232237697001
"kilb34",33000,0.00859539823036093,0.00774494481128532,0.000244977933365997,0.00123559269745223,0.00586834835203332,0,0.00123559269745223,0.00321232554613751,0.0909355665120039,0.00626813385301323,0,0.00263687968332517,0.00231637782729054,0.0157748632025151,0.00157074104630083,0.025255189307774,0.00445709534247918,0.666192230901274,0.000244977933365997,0.00854517166462518,0.0890412215929283,0.0032368859955904,0,0.00626984352466111,0.0491176416861832
"kilb35",34000,0.00962251430523156,0.006789699082247,0.000679769105660377,0.000881363565437393,0.00575511225720412,0,0.000881363565437393,0.00270361695608919,0.0977996281638079,0.00576073414785592,0,0.00251348590668954,0.00243687434588336,0.0156558325830189,0.00291504912975986,0.0283742893081475,0.00468923967101201,0.654816828677959,0.000679769105660377,0.00938453989751286,0.084049941265952,0.00381371748730703,0,0.00608138112718696,0.0537152507035163
"kilb36",35000,0.013216207871759,0.00609951712643016,0.00105788260531731,0.000446319052843855,0.00534409613293275,0,0.000446319052843855,0.00177951269306116,0.101399039777183,0.00495190988262408,0,0.00260343940299613,0.00234270696131369,0.0156611150043625,0.00443687964877768,0.0333097613612643,0.00596660722684995,0.641991999116882,0.00105788260531731,0.0114108671285703,0.081061342955305,0.00485065842225698,0,0.00522145739920981,0.0553444788359536
"kilb37",36000,0.019131358467444,0.00631079262652141,0.001513177612733,4.83412352540642e-05,0.00437830863213891,0,4.83412352540642e-05,0.000997057256617584,0.105584482054047,0.0041457656620989,0,0.0031070549244191,0.00184240305328113,0.015567547109371,0.0061107399313133,0.0354463419165887,0.00814290627278917,0.627965778557409,0.001513177612733,0.011822150152779,0.0811995663600306,0.00510130124878713,0,0.00438499638633075,0.0556384117608307
"kilb38",37000,0.0242952446531763,0.00738825011054901,0.0018829351278819,0,0.00372640094543042,0,0,0.000505553121164372,0.10680290436424,0.00426778098125726,0,0.00378157348208658,0.00134155509205507,0.0158843424890529,0.00736890448855532,0.0357643937861171,0.0106736740083762,0.615925191578122,0.00205783236374191,0.0106772918371206,0.0858843023419307,0.00474094254785205,0,0.0033959520957041,0.0536349744416985
"kilb39",38000,0.0300632499765203,0.00858870029788851,0.00182690373547297,0,0.00338927538851351,0,0,8.82985249155405e-05,0.102848140321959,0.00426394007837838,0,0.00459246676545608,0.000952239045608108,0.0168520481779561,0.00817187508589527,0.0372979331179899,0.0132225005816723,0.607355370929307,0.00242313733935811,0.00955769336385135,0.0927268590056588,0.00432761543057432,0,0.00261363339273649,0.0488381191432432
"kilb40",39000,0.0348285945734336,0.00998784065923141,0.00139552483107769,0,0.00295113605680869,0,0,0.000138008425814536,0.0956837112865497,0.00395229259690894,0,0.00584060794143693,0.00053237671679198,0.0181905205649123,0.00823753374051796,0.0371739153324979,0.015728065514787,0.60636967712005,0.00253686666290727,0.00810619040451128,0.0990603086756057,0.00373962852230576,0.000138008425814536,0.00241875934001671,0.0429904322588137
"kilb41",40000,0.0339037635319149,0.011638432123555,0.00098662457932652,0,0.00212440748869157,0,0,0.000548996637376445,0.0883389690149104,0.003536843222064,0,0.00790206081914894,0.000123185483330541,0.0194122735099682,0.00782221116384654,0.0355462773940359,0.0181710069703468,0.614630722828531,0.00295632785684369,0.00645661828966326,0.101524966648266,0.00375169546088122,0.000548996637376445,0.00200122200536103,0.0380743979844195
"kilb42",41000,0.0281044494641023,0.0128163974690683,0.000576737330864405,0,0.00146620654827035,0,0,0.000964218740594226,0.0809250411012541,0.00300716261972898,0,0.00958821034079623,0,0.020107673335662,0.00719956848859524,0.0346967762794378,0.0197364727461493,0.630971288592206,0.00338515191945122,0.00543758790859355,0.0998109454152007,0.00455288134997054,0.00106597407533036,0.00156796188300648,0.0340192940783604
"kilb43",42000,0.0224748048551833,0.0136543915628897,0.000160122057361377,0,0.00103250478011472,0,0,0.00135986730875384,0.0725730598031424,0.00255249414622994,0,0.0103969248132846,0,0.0208315078294954,0.00716982820458891,0.0334897887651509,0.0228794481849697,0.649284577826918,0.00340240387521822,0.00494486623509851,0.0944765972521407,0.00579046633793333,0.00187396483406767,0.00154660230542855,0.0301057787833569
"kilb44",43000,0.017273834071271,0.0141983779798914,0,0,0.000629560495503139,0,0.000122509969794672,0.00180381850135754,0.0671905776903105,0.00243337899686068,0,0.0108472215638045,0,0.0216210249402681,0.00740458897217037,0.0317180435660954,0.0269027622893263,0.662032862256151,0.00348877715891736,0.0050505229358561,0.0871679331970134,0.00700246795783132,0.00275063702604785,0.00157637902019345,0.0287847212732055
"kilb45",44000,0.0123716955622523,0.0146007459051354,0,0,0.000199801849405548,0,0.000924702815719947,0.00188720641867569,0.0637126969450132,0.00208700826808124,0,0.00985275100470608,0,0.0217864735250991,0.00733515545838838,0.0330466852356341,0.031131495598745,0.669053857590406,0.0043263224802675,0.00556107066496037,0.0827751574212351,0.00749066379813408,0.00321930079879458,0.00153189622952444,0.0271053122397622
"kilb46",45000,0.010980106516902,0.0147435014966196,0,2.32288048780488e-05,2.32288048780488e-05,2.32288048780488e-05,0.00179341878510911,0.00158311855481386,0.0607511162902011,0.00160634735481386,0,0.00752679027291399,0,0.0212630471364142,0.00764636272973898,0.0358266188783055,0.0359138548319213,0.671319632312281,0.00498654875173299,0.00585636509858793,0.0817706347427471,0.00737648100196834,0.00334320361788618,0.00180654267282841,0.0238366221909285
"kilb47",46000,0.0111325011371424,0.0139182015501271,0,0.000412602146487417,0.000412602146487417,0.000412602146487417,0.00251759951668169,0.00189528562283794,0.0563268501518977,0.00230788768267891,0,0.00557140104426592,0,0.0217090557021887,0.00753576844159357,0.0415725671203377,0.0579117547455529,0.642644540478318,0.00672982467120256,0.00756697017599803,0.0858526187480121,0.0066658001880482,0.00301013091327158,0.00194004958340848,0.0219533859567997
