"","YrBP","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae","Betula","Carya","Castanea","Corylus","Cyclachaena.xanthiifolia","Ericaceae","Fabaceae","Fagaceae","Ilex","Iva","Leitneria.floridana","Liquidambar","Magnolia","Myrica","Nyssa","Onagraceae","Ostrya","Pinus","Plantago","Poaceae","Polygonaceae","Quercus","Rosaceae","Salix","Ulmus","Viburnum","Vitis"
"gosh31",30000,0,0.00323845127429299,0.00146623361426752,0.00734880110135032,0.00177680053064968,0.0323310642036688,0.00487522527016561,0.0207090172145223,0.00210366505498089,0.000481940318471338,0.00429911314303185,0.000327619305171975,0.0198511767221401,0.00311260372998726,0.00166173918940127,0.0757360617103694,0.000468017997656051,0.00502573491082803,0.00129410543133758,0.00365395399296815,0.000327619305171975,0,0.00367722670328662,0.642797404468688,0,0.0699779743259618,0.00191354056907006,0.077127590421758,0.00372944325228025,0,0.0066590539468535,0,0.00402882051475159
"gosh32",31000,0,0.00269634619449028,0.00156077269536523,0.00642512862376881,0.00190178032318384,0.0290603260955452,0.00382507045422729,0.0255583085617219,0.001953234439978,0.000447319196540173,0.003477233759912,0.000209609162741863,0.0269452030080496,0.00382171818554072,0.00214512909704515,0.0743471896677166,0.000347866716864157,0.00581265075961202,0.00121605370071496,0.00474906126053697,0.000450366365281736,0,0.00388312594360282,0.637384063382831,0,0.0658333367674116,0.00199580166831658,0.0792010574258787,0.0035869843920804,0,0.00761480823133843,0,0.00355045235748213
"gosh33",32000,0,0.00248746235028249,0.00164201765671716,0.00568203836188191,0.00207937164361782,0.0252446954170791,0.00292625852842358,0.0305591480029499,0.00192587430758462,0.000345074808759562,0.00280055596940153,9.77579553022349e-05,0.03449452460077,0.00454313998525074,0.00284360129423529,0.0690195134087296,0.000236513734513274,0.00685824202844858,0.00131988942172891,0.00602796141552922,0.000723111328033598,0.000362391510824459,0.00488366049247538,0.631246527537623,0,0.0603633784833258,0.00203669256297185,0.0856018564939253,0.00319490421048948,0,0.00784279590515474,0,0.00261103927813609
"gosh34",33000,0,0.00282188723683816,0.0016424952219389,0.00550892282115894,0.00230219805389731,0.0220916189165042,0.0024585011299935,0.0345894196925654,0.00255397320953952,0.000242830420978951,0.00220321587080646,0,0.0388371758443078,0.00543666192175391,0.0037400948539573,0.0599831582560872,0.000139709679416029,0.00810455152707365,0.00176199582580871,0.0072868379020049,0.00106814524563772,0.00132619872046398,0.00648211563771811,0.62246865899315,0,0.0564040005631218,0.0021790081280936,0.0972498747517124,0.00232949041047948,0,0.00704379873061347,2.90978545072746e-05,0.00171436163661817
"gosh35",34000,0,0.00345906832778361,0.00155307139313034,0.00593337249867507,0.00283879802389881,0.0206947974575771,0.00219727704119794,0.0365031031083946,0.00610555483045848,0.00014058603319834,0.00141505562881856,0,0.0398613777342133,0.00595956092680366,0.00444576827028649,0.0495472098035098,0.000143824373681316,0.010068309539173,0.00240593972861357,0.00840682005289736,0.00191461207229639,0.00229000593010349,0.00829179990350483,0.605713639244138,0,0.0574647737244638,0.0030324507059647,0.110416721959352,0.00186143006349683,0,0.00596091922458877,0.000260033207739613,0.00111411869876506
"gosh36",35000,0,0.0044836653609,0.0014272030639,0.0064556901571,0.0037543958021,0.02172274712645,0.00232635020185,0.03639867682685,0.0113160168754,3.83435625e-05,0.0011146772682,0,0.0430062679656,0.00572626637925,0.0044927317167,0.0364825709998,0.0002454965547,0.0120092948314,0.0030135184428,0.00897424318315,0.00339681017165,0.0037836368679,0.0094879214757,0.5827761671472,0,0.0614644219978,0.00428168079965,0.12386472625295,0.00189795410445,0.000105932225,0.004947698119,0.0004909931094,0.0005139014547
"gosh37",36000,0,0.00572226019560978,0.00155129351057553,0.00653985865903295,0.00472213489534477,0.0241139993368668,0.00260563002480124,0.0355817787611381,0.0218621914779739,0,0.000883314633931697,0,0.0424604187974399,0.00548095151827591,0.00454103660273014,0.0256318040422021,0.000552239990699535,0.0153112373905195,0.00358326560378019,0.0092042909778989,0.00569965971323566,0.00535308682224111,0.00937695753697685,0.548662275085754,0,0.0701787100066503,0.00603427806775339,0.13648157760158,0.00200617711330567,0.000227008975448772,0.00416709531071554,0.000785726753737687,0.000679741250462523
"gosh38",37000,0,0.00718967390269513,0.00197464850432522,0.00603800234501725,0.00573925345967298,0.0270036896333817,0.00281147766038302,0.034542359239762,0.0397322528978449,0,0.000753908791239562,0,0.0402793321307065,0.00512210390109505,0.00442441993869694,0.017309554079704,0.00112526264823241,0.0198607135831292,0.00386157192749638,0.00943109297439872,0.00889438163733187,0.00640019763178159,0.0083209471320566,0.506033787261763,0,0.0803476332448122,0.008222009179909,0.145839306496025,0.00235826082189109,0.000348080429021451,0.00361314562043102,0.00111852329356468,0.0013044108839442
"gosh39",38000,0,0.00892248668683434,0.00265906914945747,0.00499843258122906,0.00670872560668033,0.0295556120294015,0.00275624323766188,0.0339889962667133,0.0648132259070954,0,0.000807556481424071,0,0.0393873495951798,0.00451213254882744,0.00398702960268013,0.0108611882846142,0.00192148825011251,0.025465640459373,0.00363056980859043,0.00977954248227411,0.0130218943318666,0.0065807617099855,0.00694165776578829,0.460068993873994,0,0.0879297958315416,0.0106617718074404,0.14988169759588,0.00305700549032452,0.00046915188259413,0.00325769477948897,0.00140935623241162,0.0019649314519726
"gosh40",39000,0,0.0109508025026251,0.0034623207120356,0.00387583605140257,0.00676432903685184,0.0310475760776039,0.00239271306115306,0.0364134030370519,0.0906623505633282,0,0.000956623784789239,0,0.0387696101582079,0.00412260817260863,0.00387032786759338,0.00615968465943297,0.00251585616850843,0.0334041098828441,0.00299585232271614,0.00922169423986199,0.0183693973570179,0.00676132578818941,0.00580003023441172,0.418209732910946,0,0.0904140470441022,0.0129102953336167,0.148518258673934,0.00335203479178959,0.000590223336166808,0.00320571768063403,0.001409108320016,0.0028741323120156
"gosh41",40000,0,0.0126133197883106,0.00474806030978451,0.00275296421138943,0.00632173902444878,0.0287595499903005,0.00202897997650118,0.0412235064157792,0.121295055298235,0,0.0015654000679966,0,0.0348306184967752,0.00411578753162342,0.00436623758532073,0.00457787924383781,0.00333982285175741,0.0437840909571021,0.00226903887695615,0.00871924802544873,0.0240527742875356,0.0063417461439928,0.0049210199119044,0.375627019628919,0,0.0897950650727964,0.0152706778720564,0.143767104043998,0.00391272104929753,0.000499369806509675,0.00319457625303735,0.00152367441447928,0.00378295485765712
"gosh42",41000,0,0.0141245789022549,0.00584001819499025,0.00198450576781161,0.0056240097219139,0.0263407908859557,0.00161825002089895,0.0461867253696315,0.144336982764262,0,0.002239360619969,0,0.0317217504789761,0.00494190834468277,0.00476707085065747,0.00351856393350332,0.00389670139843008,0.053787109280086,0.00148200948632568,0.00790870301829909,0.0277678475039748,0.00583660705094745,0.00484182874986251,0.348171631980101,0,0.0856548813915804,0.0181205346626169,0.135472058372981,0.00459342735258237,0.000378310459477026,0.00301430295860207,0.0015271650239488,0.00430236701674916
"gosh43",42000,0,0.0151563817649118,0.00667736552682366,0.00160875372061397,0.00476720217749113,0.0244891734292285,0.00122091941022949,0.0511972669309535,0.154969642057297,0,0.00275593482085896,0,0.0297945820821959,0.00627112890365482,0.00525084443077846,0.00247496067366632,0.00402275316504175,0.0635824794035798,0.00080265597480126,0.00670980918299085,0.0298374591917904,0.00528848890765462,0.00530129519094045,0.336899088330883,0,0.0804312980507475,0.0211549189502025,0.124790431458727,0.00506474258722064,0.000361981258737063,0.0029702684139293,0.00150685342152892,0.00464132160101995
"gosh44",43000,0,0.01531047076735,0.00733693674215,0.0014979370663,0.00393687134855,0.02318873800815,0.0009218047156,0.0560410900849,0.1520892046429,0,0.0030636936301,0,0.02892109969605,0.0076998331111,0.00607507597785,0.0014652290436,0.0037458879074,0.0733961725005,0.000377950117,0.00521394906975,0.0307900306082,0.00468668675085,0.00581581243105,0.33836725745075,0,0.0767811240562,0.02390853647815,0.11379313395415,0.0051534419525,0.0005194855078,0.0033106737641,0.0016223777041,0.00496949548775
"gosh45",44000,0,0.01420824401735,0.00789031504215,0.0011383721163,0.00385465369855,0.02198294685815,0.0008244765656,0.0579133739349,0.1413807874429,0,0.0037369135301,0,0.03070973799605,0.0093854959111,0.00705786102785,0.0010609163936,0.0035697453074,0.0807585077005,0.000155051717,0.00395029431975,0.0290650964582,0.00420648645085,0.00575274758105,0.34675719130075,0,0.0753175750062,0.02584618322815,0.10698770200415,0.0055656019525,0.0006769716578,0.0035475391141,0.0020800153541,0.00461919648775
