"","YrBP","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteraceae","Brassicaceae","Camassia","Caprifoliaceae","Caryophyllaceae","Cupressaceae","Ericaceae","Fabaceae","Gentianaceae","Lysichiton","Malvaceae","Myrica","Onagraceae","Picea","Pinus","Poaceae","Polemoniaceae","Polygonaceae","Ranunculaceae","Rosaceae","Rubiaceae","Salix","Sanguisorba","Tsuga.heterophylla","Tsuga.mertensiana"
"kala55",54000,0.0997684244250399,0.0457642889971951,0.000776652242208051,0.0578858108706905,0.0135462651925618,0.0721627555020476,0.0138148173713382,0.00463297975038362,0.0105553417958998,0,0.00242367356565365,0.0213945372004534,0.00239559484383719,0.000126795787290753,0.0153183660662116,0.00171663780779693,0.0050359194109157,0.000724115913232364,0.0819323344867577,0.0826379405056347,0.149747566049382,0.000114631402660422,0.0112666415981317,0.00903468985963531,0,0.000744702782488043,0.00345309102867676,0.00533220612158729,0.20955927030001,0.0781339493609506
"kala56",55000,0.0846724404973042,0.0607974480892239,0.00156370128343845,0.061397411122732,0.0108099326409756,0.0706307060650615,0.0123303901623776,0.00632799480988879,0.00822498190844342,0,0.00164932271654663,0.0196281632476226,0.00217098718457544,0.000171392345540546,0.0161060937671246,0.00246195011708181,0.00534628478249343,0.000896004146098599,0.0833787764175454,0.0803543837656126,0.134611658892652,1.77633520014324e-06,0.0105403016896039,0.00815580725041282,0,0.000625420698850072,0.00223396402134729,0.00412303641590403,0.220789041987924,0.0900006279546196
"kala57",56000,0.072348166951897,0.0726931837796013,0.00279924264099092,0.0624070298262263,0.00930344621577146,0.0713856206845311,0.0109942859368695,0.00788057108957496,0.00560820623169171,0,0.000876519853682488,0.0168305928042652,0.00187669001775529,0.000215585321752715,0.0178631608131478,0.0030634829820612,0.00562521445955463,0.00122308372066657,0.0903248928831821,0.0861953732344542,0.135196544512677,0,0.010672493329078,0.0070906389750434,0.000108327241219065,0.00191293126718246,0.00101770227285622,0.00380548858498735,0.214776281748048,0.0859052430464217
"kala58",57000,0.0639936053321883,0.0823212228635806,0.0042115316195848,0.0565991030614679,0.00839828171128678,0.0679710898235061,0.0104932562134152,0.00703665855749317,0.00315864249335722,0,0.000118280658307924,0.0141669348909288,0.00153424854611333,0.000186178932082327,0.0211883152254138,0.0035811355853661,0.00580208364750723,0.00154968583731636,0.102444940041485,0.0981565485031283,0.14076283613089,0,0.011489216714326,0.00618539103276343,0.000339128770081772,0.00424570944555597,0.0002259921489427,0.00522071415212054,0.205320195084807,0.0732990735221954
"kala59",58000,0.0598376296857922,0.0783001866248375,0.00505187901263177,0.0508006954343677,0.0083931607368382,0.0646002581274494,0.0110683757503496,0.00555203321505631,0.00116322458832105,0,0,0.0126413915931445,0.001193558828547,0.000141359168038073,0.0270212825589112,0.00417449146184525,0.00689308996682432,0.00140894857547678,0.112483533427424,0.1129288835198,0.152514040964635,0,0.0131398256301947,0.00597289871027987,0.000569231466970106,0.00741303672007986,0.000539638395607545,0.00787782180111887,0.186544550240315,0.0617749744965579
"kala60",59000,0.0616923115083803,0.0648705798134796,0.00553401165087261,0.0457404438449953,0.00912836803827326,0.0614171915066464,0.0113614533178735,0.00386198533633835,0.000217508599859711,0,0,0.0116283996276162,0.000972512163051586,9.67925872732033e-05,0.0349858402779306,0.00522314860706682,0.00889857630593413,0.0010799952400575,0.119088582630343,0.126371277637866,0.167304996950143,0,0.014248919813608,0.00583563280111046,0.000799511994462529,0.0107541399709394,0.00118350592739541,0.0110625323655916,0.167830831226562,0.0488109511081659
"kala61",60000,0.0686350844145695,0.0493632742351586,0.00539941978460512,0.041597974943165,0.0104519278563359,0.0572420783178314,0.0116886176633389,0.00225523567402886,2.42773589008599e-06,0.000138232842087575,0,0.0114225452747801,0.000938867224088168,5.23158326331917e-05,0.0444516308868044,0.00596038354723732,0.0112898424815064,0.000752049992102402,0.12529436710002,0.131310835691702,0.177467823422709,0,0.0150638072438569,0.0063988397292824,0.00103055519248295,0.0141685963889098,0.0018285129111199,0.0143292182300435,0.156248084232006,0.0352174521199417
"kala62",61000,0.0727544179890291,0.0350527393154444,0.00436313168694082,0.0399017786905186,0.0108337008876435,0.052051392905389,0.0119473358297456,0.000807061424366588,0.000130522536168844,0.000400451381967538,0,0.0123323021095012,0.000722145079537807,7.80174472980998e-06,0.053668847609234,0.00639629661768606,0.0147325499772219,0.000424121310382027,0.13583175053176,0.129224330496749,0.177086028825534,0,0.0166394173400337,0.00662592822778602,0.00104665787486639,0.0161406313772169,0.00247612256747823,0.0169945423374357,0.15216464308364,0.029243351220289
"kala63",62000,0.0713246773718354,0.0215134690435925,0.00294458104028539,0.0416602134598634,0.0110770493868241,0.0501448836897901,0.0119655492377756,0.000554770739277887,0.00030043606920163,0.000730127882495562,0.000487389763483831,0.0131233536735172,0.000530856160928374,0,0.0607498460236357,0.00650959666446357,0.0190324645843142,9.54110518429638e-05,0.147232894331729,0.13032597555571,0.174309707840995,0,0.0173689273067342,0.00667753110608074,0.000817302610756324,0.0166201391364448,0.00302264233058318,0.0176150768166556,0.146380339016198,0.026884788992057
"kala64",63000,0.0672413467158623,0.0142155136412178,0.00182540845737582,0.0438026916912804,0.0106848648429289,0.0492380993680606,0.0115308085313575,0.000632941098593671,0.000610780889170612,0.00129990114792314,0.0014634203214223,0.0142616737902657,0.000342426526316582,0,0.0635551573892083,0.00588566841269562,0.0232360941165933,0,0.162948241338117,0.130189661834399,0.166453948504913,0,0.0173832478162986,0.0066086076019049,0.000593301059657279,0.0157654319129542,0.00272516340011347,0.0162244590360093,0.147677744312857,0.023603396977562
