"","YrBP","Abies","Amaranthaceae","Apiaceae","Arceuthobium","Artemisia","Asteraceae","Brassicaceae","Caryophyllaceae","Cupressaceae","Ephedra","Phlox","Picea","Pinus","Poaceae","Polygonaceae","Pseudotsuga","Ranunculaceae","Rosaceae","Sarcobatus.vermiculatus"
"gray76",75000,0,0.0204621517167045,0,0,0.721941358850236,0.0419734148889859,0,0.000396769457846046,0.00609364802757898,0,0,0.00332035654494676,0.148374204292372,0.0327608670871007,0,0,0,0,0.0246772291342294
"gray77",76000,0,0.0170488256975416,0,0,0.709077766522601,0.0441640668309278,0,0.000997487109278351,0.00435295917176844,0,0,0.00335547206249009,0.156435058014433,0.0414430721430611,0,0,0,0,0.0231252924478985
"gray78",77000,0,0.0193834161812847,0,0,0.708602886268834,0.0467090833257732,0,0.00163445205773196,0.00428186924314036,0,0,0.00264741718540841,0.148000959045361,0.0479520581858842,0,0,0,0,0.0207878585065821
"gray79",78000,0,0.0225629382428549,0,0,0.704838656814774,0.049816092264095,0,0.00237516196720287,0.0042848417038888,6.92548689676714e-05,0,0.00211744434358894,0.141447526128846,0.0538352648196158,0,0,0,6.92548689676714e-05,0.0185835640078088
"gray80",79000,0,0.031894254163042,0,0,0.675847692771174,0.0568677048179117,0,0.0038192624714305,0.00486794454005133,0.000671123318384439,0,0.00306205202377415,0.150608530974335,0.0539404320734837,0,0,0,0.000671123318384439,0.0177498798246657
"gray81",80000,0,0.0407003906160088,0,0,0.645494499490717,0.0631775838216201,0,0.00506032920203548,0.0055140642252785,0.00130562686370513,0,0.00437061561435841,0.163991478873195,0.0511763871428964,0,0,0,0.00130562686370513,0.0179033978635676
"gray82",81000,0,0.0525080522031698,0,0,0.604734766908075,0.0701185206034717,0,0.00631356432120755,0.00645394167969811,0.00218612829071698,0,0.00648819619290566,0.185199026047396,0.0448007947043019,0,0,0,0.0021159396114717,0.0190810703728302
"gray83",82000,0,0.0703837997175082,0,0,0.56954140219882,0.0720371344259672,0,0.00614571457416394,0.00757915719711475,0.00314858844931148,0,0.00872904403645902,0.19972736046741,0.040405346743082,0,0,0,0.00243186713783607,0.0198705861272131
"gray84",83000,0,0.084281667665678,0,0,0.543655103742555,0.0732210727490806,0,0.00594626028283308,0.00842935436279511,0.00387305683639815,0,0.0103776234692134,0.209687956521533,0.037574521219599,0,0,0,0.00263150979641713,0.0203218745170246
"gray85",84000,0,0.100333106710728,0,0,0.52933488900875,0.0713397053711132,0,0.00498791087952618,0.00915132452873873,0.00445835362417553,0,0.0112933540479203,0.207100616976713,0.0404969472822722,0,0,0,0.00237664679956926,0.0191271458209719
"gray86",85000,0.000506788476256022,0.11179701512512,0,0,0.530694924006882,0.0663416173285616,0,0.00361492693021335,0.00941771741197522,0.00462439395375086,0,0.0112251808770819,0.194915465929525,0.0475622890477632,0,0,0,0.00180746346510668,0.0174922182838266
"gray87",86000,0.00212806368640944,0.112183649325879,0,0,0.552128426007127,0.0577652862893831,0,0.00211509832243795,0.00898027585819612,0.00407241767928238,0,0.00994326060530843,0.175728470203367,0.0570456941915704,0,0,0,0.00112059210395675,0.0167887663433276
"gray88",87000,0.00380370438436962,0.102405903196609,0,0,0.590846504773409,0.0480678772208159,0,0.00100305924649791,0.0093350294831654,0.00290199656844434,0,0.00813920801253379,0.152561795836201,0.0610553861306218,0,0,0,0.00163309701916933,0.0182464384986483
"gray89",88000,0.00579380708977082,0.0919889661046395,0.000404398777976523,0,0.623867146608608,0.0419166476387926,0,0,0.00891473815382895,0.00162493012856344,0,0.00914752235069871,0.131515407809391,0.0617701513486864,0,0,0.000404398777976523,0.00200160396512018,0.0206502814605925
"gray90",89000,0.00691329834792142,0.0828622909827318,0.000796654917222476,0,0.636393114062494,0.04189404852709,0,0,0.00837634461269986,0.000871174052078575,0,0.0111040836388305,0.126822610128369,0.0575013049624486,0,0,0.000796654917222476,0.0024303334370032,0.0232380876806761
"gray91",90000,0.00742788068182185,0.0773160142640871,0.0011141821095526,0,0.645228757055542,0.042514231080129,0,0,0.00815488150632809,0.000365578395808142,0,0.012800423839339,0.122429795474002,0.0537603252232164,0,0,0.0011141821095526,0.00284527621668682,0.0249284723164047
"gray92",91000,0.00716563633747981,0.0750238311216478,0.00152855170185784,0,0.652146476769144,0.0450274784076737,0,0,0.00831057998497577,0,0,0.0153331916202746,0.115964298770679,0.0484361577218094,0,0,0.00152855170185784,0.00347053445331179,0.0260647116110662
