"","YrBP","Amaranthaceae","Artemisia","Asteraceae","Caryophyllaceae","Cupressaceae","Eriogonum","Fabaceae","Picea","Pinus","Poaceae","Polygonaceae","Pseudotsuga","Rosaceae","Sarcobatus.vermiculatus"
"natu38",37000,0.338049309914786,0.364780623205746,0.111327644552219,0.00102422128761205,0,0.00464535881153472,0.00582189841213954,0,0.0310240085517875,0.123633347865752,0.0186704386823631,0,0.000511574272923642,0.000511574272923642
"natu39",38000,0.358298095668189,0.36417726245416,0.0995006478375204,0.000920705832300163,0,0.00479328344665579,0.00446199104502447,0,0.0302191071039152,0.118187670279935,0.0189833787781403,0,0.00022892874274062,0.00022892874274062
"natu40",39000,0.382495644498787,0.366212593327312,0.0862217140048531,0.000624464748449717,0,0.00537979070396333,0.00331435969425721,0,0.0287005058921542,0.107789232088434,0.0192616950417902,0,0,0
"natu41",40000,0.40397351,0.370860927,0.07615894,0,0,0.006622517,0.003311258,0,0.026490066,0.092715232,0.01986755,0,0,0
"natu42",41000,0.402323800349852,0.362812507349112,0.0831986029674556,0,0,0.0057787309556213,0.00248099434467456,0,0.035366045079142,0.0849859364681953,0.0230533827366864,0,0,0
"natu43",42000,0.397457400201923,0.339070856461538,0.103964570423077,0,0,0.00328968657692308,3.18390192307692e-05,0,0.0615488742211538,0.0621856546634615,0.0324511194230769,0,0,0
"natu44",43000,0.397394137,0.338762215,0.104234528,0,0,0.003257329,0,0,0.061889251,0.061889251,0.03257329,0,0,0
"natu45",44000,0.397394137,0.338762215,0.104234528,0,0,0.003257329,0,0,0.061889251,0.061889251,0.03257329,0,0,0
"natu46",45000,0.397394137,0.338762215,0.104234528,0,0,0.003257329,0,0,0.061889251,0.061889251,0.03257329,0,0,0
"natu47",46000,0.397394137,0.338762215,0.104234528,0,0,0.003257329,0,0,0.061889251,0.061889251,0.03257329,0,0,0
"natu48",47000,0.385790346998171,0.351389426721787,0.105280267341693,0,0,0.00311522504414838,0.000978786520114943,0,0.0601680623589342,0.0604477156815569,0.0328301702027168,0,0,0
"natu49",48000,0.316306574532132,0.427001472960031,0.111542179567398,0,0,0.00226430315282132,0.00683978364655172,0,0.0498615435501567,0.0518157676669279,0.0343683750094044,0,0,0
"natu50",49000,0.246822802066092,0.502613519198276,0.117804091793103,0,0,0.00141338126149425,0.0127007807729885,0,0.0395550247413793,0.0431838196522989,0.035906579816092,0,0,0
"natu51",50000,0.177339029600052,0.57822556543652,0.124066004018809,0,0,0.000562459370167189,0.0185617778994253,0,0.0292485059326019,0.0345518716376698,0.0374447846227795,0,0,0
"natu52",51000,0.131410256,0.628205128,0.128205128,0,0,0,0.022435897,0,0.022435897,0.028846154,0.038461538,0,0,0
"natu53",52000,0.131410256,0.628205128,0.128205128,0,0,0,0.022435897,0,0.022435897,0.028846154,0.038461538,0,0,0
"natu54",53000,0.131410256,0.628205128,0.128205128,0,0,0,0.022435897,0,0.022435897,0.028846154,0.038461538,0,0,0
"natu55",54000,0.131410256,0.628205128,0.128205128,0,0,0,0.022435897,0,0.022435897,0.028846154,0.038461538,0,0,0
"natu56",55000,0.131410256,0.628205128,0.128205128,0,0,0,0.022435897,0,0.022435897,0.028846154,0.038461538,0,0,0
"natu57",56000,0.131410256,0.628205128,0.128205128,0,0,0,0.022435897,0,0.022435897,0.028846154,0.038461538,0,0,0
"natu58",57000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu59",58000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu60",59000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu61",60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu62",61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu63",62000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu64",63000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu65",64000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu66",65000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu67",66000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu68",67000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu69",68000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu70",69000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natu71",70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
