depth,calyrBP ,d18Oforams-b,sst-uk37,uk37,notes
2762,244857.1,,8.825,0.339,1020C 4H-2 25
2764,245142.9,,,,1020C 4H-2 27
2784,248000,4.21,,,1020C 4H-2 47
2787,248428.6,,8,0.311,1020C 4H-2 50
2804,250857.1,4.8,,,1020C 4H-2 67
2812,252000,,7.801,0.304,1020C 4H-2 75
2824,253714.3,4.895,,,1020C 4H-2 87
2837,254676.9,,8.02,0.312,1020C 4H-2 100
2844,255107.7,4.865,,,1020C 4H-2 107
2862,256215.4,,8.018,0.312,1020C 4H-2 125
2864,256338.5,4.815,,,1020C 4H-2 127
2884,257569.2,4.7,,,1020C 4H-2 147
2887,257753.8,,7.467,0.293,1020C 4H-3 0
2904,258800,4.81,,,1020C 4H-3 17
2912,259292.3,,7.861,0.306,1020C 4H-3 25
2924,260030.8,4.665,,,1020C 4H-3 37
2937,260830.8,,6.822,0.271,1020C 4H-3 50
2944,261261.5,4.57,,,1020C 4H-3 57
2962,262529,,5.625,0.23,1020C 4H-3 75
2964,262705.3,4.66,,,1020C 4H-3 77
2987,264733,,6.015,0.244,1020C 4H-3 100
3004,266231.7,4.69,,,1020C 4H-3 117
3012,266937,,6.358,0.255,1020C 4H-3 125
3037,269141.1,,7.07,0.279,1020C 4H-4 0
3062,271345.1,,7.269,0.286,1020C 4H-4 25
3087,273549.1,,6.39,0.256,1020C 4H-4 50
3112,275753.2,,7.801,0.304,1020C 4H-4 75
3137,277957.2,,6.73,0.268,1020C 4H-4 100
3162,280161.2,,6.643,0.265,1020C 4H-4 125
3184,282100.8,4.65,,,1020C 4H-4 147
3187,282365.3,,8.187,0.317,1020C 4H-5 0
3204,283864,4.47,,,1020C 4H-5 17
3212,284569.3,,8.265,0.32,1020C 4H-5 25
3224,285627.2,4.375,,,1020C 4H-5 37
3237,286773.3,,8.721,0.336,1020C 4H-5 50
3244,287390.5,4.23,,,1020C 4H-5 57
3262,288977.4,,10.435,0.394,1020C 4H-5 75
3264,289153.7,4.185,,,1020C 4H-5 77
3284,291402.1,4.2,,,1020C 4H-5 97
3287,291747.5,,7.322,0.288,1020C 4H-5 100
3304,293704.5,4.37,,,1020C 4H-5 117
3312,294625.5,,6.632,0.264,1020C 4H-5 125
3324,296006.9,4.58,,,1020C 4H-5 137
3337,297503.5,,7.84,0.306,1020C 4H-6 0
3344,298309.3,4.64,,,1020C 4H-6 7
3362,300125,,7.716,0.301,1020C 4H-6 25
3363,300218.8,4.44,,,1020D 4H-2 27
3364,300312.5,4.58,,,1020C 4H-6 27
3386,302375,,7.472,0.293,1020D 4H-2 50
3388,302562.5,4.29,,,1020D 4H-2 47
3390,302750,4.44,,,1020C 4H-6 47
3393,303031.2,,8.519,0.329,1020C 4H-6 50
3409,304531.2,4.23,,,1020D 4H-2 67
3410,304625,4.44,,,1020C 4H-6 67
3418,305375,,9.111,0.349,1020C 4H-6 75
3420,305562.5,,9.007,0.345,1020D 4H-2 74
3428,306312.5,4.03,,,1020D 4H-2 87
3430,306500,4.68,,,1020C 4H-6 87
3442,307625,,6.759,0.269,1020D 4H-2 100
3449,308281.2,4.31,,,1020D 4H-2 107
3466,309875,,9.136,0.35,1020D 4H-2 124
3469,310156.2,4.05,,,1020D 4H-2 127
3470,310250,3.96,,,1020C 4H-6 127
3486,311750,,9.415,0.359,1020D 4H-2 144
3489,312031.2,3.86,,,1020D 4H-2 147
3490,312125,3.95,,,1020C 4H-6 147
3492,312312.5,,9.568,0.364,1020D 4H-3 0
3509,313906.2,3.775,,,1020D 4H-3 17
3510,314000,3.73,,,1020C 4H-7 17
3516,314562.5,,10.62,0.4,1020D 4H-3 24
3530,315875,3.72,,,1020C 4H-7 37
3542,317000,,8.613,0.332,1020D 4H-3 50
3549,318054.2,3.95,,,1020D 4H-3 57
3550,318204.8,3.73,,,1020C 4H-7 57
3566,320614.5,,10.323,0.39,1020D 4H-3 74
3569,321066.3,3.74,,,1020D 4H-3 77
3570,321216.9,3.69,,,1020C 4H-7 77
3589,324078.3,3.58,,,1020D 4H-3 97
3592,324530.1,,11.437,0.428,1020D 4H-3 100
3609,327090.4,3.38,,,1020D 4H-3 117
3616,328144.6,,12.365,0.459,1020D 4H-3 124
3629,329963.7,3.31,,,1020D 4H-3 137
3633,330427.4,,12.54,0.465,1020D 4H-3 141
3642,331470.8,,12.758,0.473,1020D 4H-4 0
3649,332282.3,3.2,,,1020D 4H-4 7
3666,334253.1,,10.609,0.4,1020D 4H-4 24
3669,334600.9,3.54,,,1020D 4H-4 27
3689,336919.5,4.45,,,1020D 4H-4 47
3691,337151.3,,7.856,0.272,1020C 5H-1 50
3692,337267.3,,7.922,0.308,1020D 4H-4 50
3698,337962.8,4.55,,,1020C 5H-1 57
3709,339238.1,4.68,,,1020D 4H-4 67
3716,340049.6,,6.867,0.19,1020C 5H-1 75
3729,341556.6,4.59,,,1020D 4H-4 87
3738,342600,4.805,,,1020C 5H-1 97
3741,342822.4,,7.448,0.23,1020C 5H-1 100
3758,344083,4.8,,,1020C 5H-1 117
3766,344676.2,,7.773,0.255,1020C 5H-1 125
3791,346529.9,,7.595,0.237,1020C 5H-2 0
3798,347049,4.66,,,1020C 5H-2 7
3816,348383.7,,8.545,0.29,1020C 5H-2 25
3818,348532,4.515,,,1020C 5H-2 27
3841,350237.4,,6.155,0.187,1020C 5H-2 50
3858,351498,4.46,,,1020C 5H-2 67
3866,352091.2,,5.834,0.115,1020C 5H-2 75
3878,352981,4.51,,,1020C 5H-2 87
3891,354115.6,,5.044,0.08,1020C 5H-2 100
3916,356680.5,,5.586,0.168,1020C 5H-2 125
3918,356885.7,4.53,,,1020C 5H-2 127
3938,358937.7,4.43,,,1020C 5H-2 147
3941,359245.5,,5.476,0.127,1020C 5H-3 0
3966,361810.4,,5.757,0.142,1020C 5H-3 25
3978,363041.6,4.31,,,1020C 5H-3 37
3991,364375.3,,6.567,0.167,1020C 5H-3 50
3998,365093.5,4.35,,,1020C 5H-3 57
4016,366940.3,,6.44,0.166,1020C 5H-3 75
4038,369197.4,4.3,,,1020C 5H-3 97
4041,369505.2,,7.493,0.219,1020C 5H-3 100
4058,371249.4,4.34,,,1020C 5H-3 117
4066,372070.1,,7.282,0.256,1020C 5H-3 125
4091,374635.1,,8.029,0.257,1020C 5H-4 0
4098,375353.2,4.18,,,1020C 5H-4 7
4116,377200,,6.616,0.264,1020C 5H-4 25
4118,377405.2,4.1,,,1020C 5H-4 27
4141,379764.9,,8.043,0.312,1020C 5H-4 50
4158,381509.1,4.16,,,1020C 5H-4 67
4166,382329.9,,8.145,0.316,1020C 5H-4 75
4178,383561,4.02,,,1020C 5H-4 87
4191,384894.8,,7.38,0.29,1020C 5H-4 100
4216,387459.7,,8.048,0.313,1020C 5H-4 125
4218,387664.9,4.21,,,1020C 5H-4 127
4241,390024.7,,7.879,0.307,1020C 5H-5 0
4266,392589.6,,9.707,0.369,1020C 5H-5 25
4278,393800,4.57,,,1020C 5H-5 37
4291,395100,,10.696,0.403,1020C 5H-5 50
4298,395800,3.85,,,1020C 5H-5 57
4316,397600,,12.746,0.472,1020C 5H-5 75
4338,399800,3.25,,,1020C 5H-5 97
4341,400100,,13.983,0.514,1020C 5H-5 100
4358,402680,3.2,,,1020C 5H-5 117
4366,404360,,13.07,0.483,1020C 5H-5 125
4391,409610,,12.703,0.471,1020C 5H-6 0
4398,411080,3.28,,,1020C 5H-6 7
4416,414860,,12.693,0.471,1020C 5H-6 25
4418,415280,3.36,,,1020C 5H-6 27
4441,420110,,12.169,0.453,1020C 5H-6 50
4458,422509.1,4.105,,,1020C 5H-6 67
4466,423018.2,,9.468,0.361,1020C 5H-6 75
4478,423781.8,4.59,,,1020C 5H-6 87
4491,424609.1,,7.025,0.278,1020C 5H-6 100
4516,426200,,5.672,0.232,1020C 5H-6 125
4518,426327.3,5.005,,,1020C 5H-6 127
4541,427790.9,5.02,,,1020D 5H-2 147
4561,429110.2,5.045,,,1020D 5H-3 17
4568,429881.9,,6.85,0.272,1020D 5H-3 25
4581,431315,5.12,,,1020D 5H-3 37
4593,432637.8,,5.357,0.221,1020D 5H-3 50
4598,433189,4.94,,,1020C 5H-3 57
4601,433519.7,4.83,,,1020D 5H-3 57
4618,435393.7,,5.504,0.226,1020D 5H-3 74
4621,435724.4,4.98,,,1020D 5H-3 77
4641,437929.1,4.88,,,1020D 5H-3 97
4644,438259.8,,6.271,0.252,1020D 5H-3 100
4661,440133.9,4.81,,,1020D 5H-3 117
4668,440905.5,,6.559,0.262,1020D 5H-3 124
4681,442338.6,4.715,,,1020D 5H-3 137
4688,443087.8,,7.542,0.295,1020D 5H-3 144
4694,443614.3,,7.652,0.299,1020D 5H-4 0
4701,444228.6,4.64,,,1020D 5H-4 7
4718,445720.6,,8.683,0.334,1020D 5H-4 24
4721,445983.8,4.49,,,1020D 5H-4 27
4741,447739,4.525,,,1020D 5H-4 47
4744,448002.3,,7.747,0.302,1020D 5H-4 50
4749,448441.1,4.53,,,1020C 6H-1 37
4761,449494.2,4.49,,,1020D 5H-4 67
4762,449582,,7.027,0.278,1020C 6H-1 50
4768,450108.5,,6.191,0.25,1020D 5H-4 74
4769,450196.3,4.46,,,1020C 5H-4 57
4781,451249.4,4.51,,,1020D 5H-4 87
4787,451776,,5.743,0.234,1020C 6H-1 75
4801,453004.6,4.555,,,1020D 5H-4 107
4809,453706.7,4.535,,,1020C 6H-1 97
4812,453970,,6.659,0.265,1020C 6H-1 100
4829,455461.9,4.37,,,1020C 6H-1 117
4837,456164,,6.84,0.272,1020C 6H-1 125
4862,458358,,4.885,0.205,1020C 6H-2 0
4869,458972.3,4.505,,,1020C 6H-2 7
4887,460552,,6.881,0.273,1020C 6H-2 25
4889,460727.5,4.475,,,1020C 6H-2 27
4912,462746,,7.932,0.309,1020C 6H-2 50
4929,464237.9,4.32,,,1020C 6H-2 67
4937,464940,,7.472,0.293,1020C 6H-2 75
4949,465993.1,4.345,,,1020C 6H-2 87
4962,467133.9,,6.349,0.255,1020C 6H-2 100
4987,469327.9,,7.414,0.291,1020C 6H-2 125
4989,469503.5,4.35,,,1020C 6H-2 127
5009,471258.7,4.2,,,1020C 6H-2 147
5012,471521.9,,8.509,0.328,1020C 6H-3 0
5037,473715.9,,8.532,0.329,1020C 6H-3 25
5049,474769.1,4.01,,,1020C 6H-3 37
5062,475909.9,,6.979,0.276,1020C 6H-3 50
5069,476524.2,4.09,,,1020C 6H-3 57
5087,478103.9,,9.061,0.347,1020C 6H-3 75
5109,480034.6,3.815,,,1020C 6H-3 97
5112,480297.9,,7.322,0.288,1020C 6H-3 100
5129,482032.8,3.765,,,1020C 6H-3 117
5137,482950.8,,9.294,0.355,1020C 6H-3 125
5162,485819.7,,9.579,0.365,1020C 6H-4 0
5169,486623,3.68,,,1020C 6H-4 7
